"","Año_Edicion","Cod_region","Provincia","Porcentaje_hogares_NBI","Porcentaje_población_NBI","GRUPO.HORTALIZAS(ha)","GRUPO.FRUTALES(ha)","Ha_Hort_x_habitantes","Ha_Frut_x_habitantes","Ha_Hort_x_TotalHa","Ha_Frut_x_TotalHa"
"54",2018,4,"Chaco",18.1621666863138,23.1215638071371,3263.8,2215,0.00282403309443526,0.00191654920772538,0.00275291581086141,0.00186828498102151
"55",2018,6,"Chubut",8.44620770395633,10.7139199428077,622.4,554.3,0.00107781237336917,0.000959883352439797,0.0149337172335193,0.0132997420670626
"56",2018,2,"Entre Ríos",8.04833640345382,11.5653308358928,442.2,33877.7,0.00134203745686633,0.102815790032747,0.000196792189406118,0.0150765869630114
"57",2018,4,"Formosa",19.7308681924121,25.2311212988334,4196.9,2288.4,0.0071789248974537,0.00391437769194717,0.0153022587138723,0.00834370340985617
"58",2018,3,"Jujuy",15.46297886961,18.1298763653823,4588.8,6603.1,0.00623019461211988,0.00896500131696495,0.0271217856121197,0.0390271667048875
"59",2018,2,"La Pampa",3.78828686591006,5.72170205465307,14,110.8,0.0000404401038732954,0.000320054536368652,0.00000803617472572536,0.0000636005828293121
"60",2018,3,"La Rioja",12.2406778488864,15.5,906.9,36620.9,0.00243215627589647,0.0982112159708645,0.017730482588193,0.715962321991351
"61",2018,5,"Mendoza",7.61295042245893,10.2961292834438,32638.1,190841.3,0.0171144886460466,0.100071734017813,0.122179579998218,0.714407697761633
"62",2018,4,"Misiones",15.6479717976056,19.1260134117041,1621.5,4363.6,0.00134655724799075,0.00362370472237585,0.00256683059662071,0.00690756829566089
"63",2018,6,"Neuquén",10.3565275172442,12.4145731239299,537.6,7478.4,0.000854829964207175,0.0118912953949534,0.00828083362856395,0.115192310654488
"64",2018,6,"Río Negro",9.424717228361,11.6962286510089,3891.5,36318.6,0.00549027298289078,0.0512396321100904,0.0391355680615952,0.365244518104034
"65",2018,3,"Salta",19.4139976116934,23.6793766812601,8469.5,10294.4,0.00626498840871736,0.0076148883257217,0.00830086054720896,0.0100894242655632
"66",2018,5,"San Juan",10.2424430583387,14.0322424944493,5112.8,50684.2,0.00683997602637099,0.0678060383578064,0.0774049772454074,0.767330884779706
"67",2018,5,"San Luis",7.87806684420353,10.7371069299814,1930.1,348.9,0.00399775474527544,0.000722665473616186,0.0020283491774577,0.000366660291184389
"68",2018,6,"Santa Cruz",8.22201770257714,9.72901150917828,9,225.6,0.0000273141951872388,0.000684675826026786,0.000782649529540672,0.0196184148738195
"69",2018,2,"Santa Fe",6.43440905587838,9.46406289979688,5349.9,501.7,0.00156171547872875,0.000146453701130528,0.0011050562079273,0.000103629357467826
"70",2018,3,"Santiago del Estero",17.6245843366586,22.6994719901423,6816.9,377.2,0.00726663959092174,0.000402085471944092,0.00342280971359143,0.000189394567027049
"71",2018,6,"Tierra del Fuego",14.2422445836328,14.5105120598478,6.5,61,0.0000415311579525778,0.000389753943862653,0.0658561296859169,0.618034447821682
"72",2018,3,"Tucumán",13.2803130206383,16.4390644758741,6402.2,52852.6,0.00396795489985596,0.0327569793414962,0.0116673300180344,0.0963182541175167
